"adm1","adm2","cm_rdt_kit_quantity","cm_act_packs_quantity","cm_iv_artesunate_quantity","cm_ras_quantity"
"Benue","Ado",95840.09841095,74458.7132322799,7213.18960540973,577.098516928003
"Benue","Agatu",60083.9955529375,46679.5951684312,4522.08688596689,361.794126880272
"Benue","Apa",50303.4602075598,39081.0420720327,3785.97687503893,302.900902267989
"Benue","Buruku",107184.625405062,83272.3402653878,8067.00993269429,645.409274242543
"Benue","Gboko",187806.341800956,145907.8066406,14134.8222191924,1130.87072238046
"Benue","Guma",100920.862241585,78405.9873204605,7595.58187605972,607.692196610475
"Benue","Gwer East",87664.6166419409,68107.1353158611,6597.88034453468,527.870078285999
"Benue","Gwer West",63574.7791730447,49391.6046596047,4784.81286956641,382.813784450346
"Benue","Katsina Ala",117193.340322987,91048.1673591992,8820.29336631435,705.676475875859
"Benue","Konshisha",117724.026754811,91460.4606424761,8860.23428788301,708.871989630929
"Benue","Kwande",129236.959629346,100404.923154313,9726.7293052638,778.196798323179
"Benue","Logo",88137.6084665831,68474.6053332774,6633.47901116296,530.718185550556
"Benue","Makurdi",156127.324517113,121296.199364238,11750.5721822026,940.116390995574
"Benue","Obi",51305.0593790825,39859.1901199022,3861.35998558037,308.932004134804
"Benue","Ogbadibo",68083.7946442224,52894.6842212381,5124.17378495143,409.964697109726
"Benue","Ohimini",36741.5891212233,28544.7479023336,2765.27312815408,221.23846848026
"Benue","Oju",87576.7753030787,68038.8908840553,6591.26916358943,527.341144079724
"Benue","Okpokwu",91269.7499339396,70907.9837123441,6869.21259918719,549.578289260692
"Benue","Oturkpo",138472.774719531,107580.280010873,10421.8421704484,833.810004898916
"Benue","Tarka",41207.4635798237,32014.3109678731,3101.3871321873,248.129608718807
"Benue","Ukum",112781.522072917,87620.6008670787,8488.24778132437,679.110833610405
"Benue","Ushongo",99762.2921568298,77505.8876843935,7508.38470252736,600.71589870641
"Benue","Vandeikya",121921.179484467,94721.2522805384,9176.1235549417,734.145029368623
"Federal Capital Territory","Abaji",29837.8270062719,78314.8036315435,7586.76041536359,606.920816601908
"Federal Capital Territory","Abuja Municipal",394990.713640647,1036724.96554619,100432.913900036,8034.36813352935
"Federal Capital Territory","Bwari",116657.650643498,306189.220828391,29662.1347749407,2372.89252251945
"Federal Capital Territory","Gwagwalada",80706.9411698243,211830.045401387,20521.0730119052,1641.6316989148
"Federal Capital Territory","Kuje",49473.4394001029,129852.039519557,12579.439232411,1006.32194946716
"Federal Capital Territory","Kwali",43846.4735929619,115083.044373395,11148.6902225972,891.865803517152
"Kogi","Adavi",101224.082126101,106758.44273384,10342.2200432761,827.374981660671
"Kogi","Ajaokuta",57053.3278528248,60172.6813068357,5829.22619263682,466.336617674694
"Kogi","Ankpa",124038.050465185,130819.749898134,12673.1582515298,1013.84944741717
"Kogi","Bassa",65094.1600870486,68653.1407941385,6650.77038005472,532.059944402811
"Kogi","Dekina",121611.121790839,128260.130482899,12425.1952188974,994.012467666373
"Kogi","Ibaji",59448.5685183658,62698.8801920711,6073.95161270799,485.914589241342
"Kogi","Idah",37165.840326892,39197.8583836471,3797.29102680467,303.782319513242
"Kogi","Igalamela Odolu",68524.3870401707,72270.9131665544,7001.24193981033,560.097580337072
"Kogi","Ijumu",55264.3533557407,58285.8957970267,5646.44391877433,451.71408210186
"Kogi","Kabba/Bunu",67373.8327204779,71057.4530405531,6883.6880366672,550.693297886088
"Kogi","Kogi",53636.6149034577,56569.1618075078,5480.13537941468,438.409441113085
"Kogi","Lokoja",91635.6634618647,96645.7835387815,9362.55657180053,749.002152291923
"Kogi","Mopa Muro",20392.1656661625,21507.0940112645,2083.49890706504,166.679384388433
"Kogi","Ofu",89229.7047933456,94108.2806507523,9116.73607689246,729.33657501593
"Kogi","Ogori/Mangongo",18550.0671543175,19564.2799658685,1895.28887096751,151.622629212759
"Kogi","Okehi",104185.512948963,109881.787853621,10644.7939819049,851.580820047063
"Kogi","Okene",151740.360162542,160036.665293189,15503.5458093062,1240.27973452273
"Kogi","Olamabolo",73856.3605217116,77894.4088173059,7546.01786519055,603.67951626423
"Kogi","Omala",50313.1019799871,53063.9379846481,5140.56695607857,411.244053328389
"Kogi","Yagba East",68800.7251169539,72562.3598472828,7029.47582582243,562.356284060617
"Kogi","Yagba West",65206.4661182539,68771.5870842828,6662.24485986739,532.97789987899
"Kwara","Asa",50609.6353350877,40052.5893790238,3880.1034902148,310.385088617933
"Kwara","Baruten",83902.4354398931,66400.5929369786,6432.57218575821,514.567328668669
"Kwara","Edu",81857.6385940077,64782.3357041511,6275.80315697607,502.026743343096
"Kwara","Ekiti",22083.562362382,17476.9853501261,1693.08683675197,135.436827700187
"Kwara","Ifelodun",83210.6876087657,65853.1420088988,6379.53775553293,510.324891226784
"Kwara","Ilorin East",84220.2984397597,66652.1504937196,6456.94187992863,516.516758549536
"Kwara","Ilorin South",84946.5524713835,67226.9097133996,6512.6218069668,520.970819924849
"Kwara","Ilorin West",148263.400605737,117336.018429721,11366.952841144,909.288289297414
"Kwara","Irepodun",59916.5665419108,47418.1175346331,4593.6406658867,367.463798003298
"Kwara","Isin",24146.6271967654,19109.6999138008,1851.25642267034,148.08944922581
"Kwara","Kaiama",50344.5465242155,39842.7974447303,3859.77984999349,308.759318870543
"Kwara","Moro",44133.4304348675,34927.3049566895,3383.5904236749,270.667010853615
"Kwara","Offa",36119.8728137086,28585.3558250605,2769.21269324816,221.520464431775
"Kwara","Oke Ero",23127.2734385724,18302.9808525282,1773.10533446865,141.837829263032
"Kwara","Oyun",38344.1019021752,30345.6161742092,2939.73830545729,235.161494211171
"Kwara","Pategi",45000.9569108764,35613.8675349211,3450.10132589992,275.987485509313
"Nasarawa","Akwanga",44452.5917347672,29397.6540678959,2847.86743340517,227.829394672414
"Nasarawa","Awe",44921.7389424914,29707.9133077145,2877.92347743344,230.233878194675
"Nasarawa","Doma",55213.5813283679,36514.1761233125,3537.27317149308,282.981853719446
"Nasarawa","Karu",85896.4443067032,56805.5507417305,5502.97917039196,440.238333631356
"Nasarawa","Keana",32495.0980008909,21489.8527319257,2081.80733069987,166.544586455989
"Nasarawa","Keffi",36765.0923580696,24313.7109612318,2355.365685704,188.42925485632
"Nasarawa","Kokona",43124.2020119645,28519.1554244128,2762.76378291361,221.021102633089
"Nasarawa","Lafia",131060.105899071,86673.4537844574,8396.40148848011,671.712119078409
"Nasarawa","Nasarawa",58953.2526353249,38987.3179384291,3776.85623540683,302.148498832546
