"intervention","total_cost","target_value","state_count","lga_count","intervention_type","title","currency","target","cost_per_target"
"cb",17539672818,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb",10962295.51125,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc",7524109700,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc",4702568.5625,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me",9118142934,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me",5698839.33375,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm",105450000,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm",65906.25,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc",14927760000,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc",9329850,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
